Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,SalePrice,Lot Shape_ord,Exter Qual_ord,Exter Cond_ord,Bsmt Qual_ord,Bsmt Cond_ord,Bsmt Exposure_ord,BsmtFin Type 1_ord,BsmtFin Type 2_ord,Heating QC_ord,Pool QC_ord,Kitchen Qual_ord,Functional_ord,Fireplace Qu_ord,Garage Qual_ord,Garage Cond_ord,Fence_ord,1st Flr SF + 2nd Flr SF,Lot Area_sqrt,Gr Liv Area_sqrt,1st Flr SF_sqrt,2nd Flr SF_sqrt,Mas Vnr Area_sqrt,Total Bsmt SF_sqrt,Garage Area_sqrt
109,60,RL,0.0,13517,Pave,No Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,No Feature,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,No Feature,No Feature,No Feature,0,130500.0,3,4,3,3,3,1,6,1,5,0,4,8,0,3,3,0,1479,116.26263372210352,38.45776904605882,26.92582403567252,27.459060435491963,17.0,26.92582403567252,21.79449471770337
544,60,RL,43.0,11492,Pave,No Feature,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,No Feature,No Feature,No Feature,0,220000.0,3,4,3,4,3,1,6,1,5,0,4,8,3,3,3,0,2122,107.20074626605917,46.06517122512408,30.215889859476256,34.77067730142742,11.489125293076057,30.215889859476256,23.643180835073778
153,20,RL,68.0,7922,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,No Feature,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,No Feature,No Feature,No Feature,0,109000.0,4,3,4,3,3,1,6,1,3,0,4,8,0,3,3,0,1057,89.00561780022652,32.51153641401772,32.51153641401772,0.0,0.0,32.51153641401772,15.684387141358123
318,60,RL,73.0,9802,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,No Feature,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,No Feature,No Feature,No Feature,0,174000.0,4,3,3,4,3,1,1,1,4,0,3,8,0,3,3,0,1444,99.00505037623081,38.0,27.27636339397171,26.457513110645905,0.0,19.595917942265423,20.0
255,50,RL,82.0,14235,Pave,No Feature,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,No Feature,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,No Feature,No Feature,No Feature,0,138500.0,3,3,3,2,4,1,1,1,3,0,3,8,0,3,3,0,1445,119.31051923447488,38.01315561749642,28.827070610799147,24.779023386727733,0.0,26.0,22.0
138,20,RL,137.0,16492,Pave,No Feature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,190000.0,3,4,3,3,3,1,5,3,5,0,4,5,4,3,3,0,1888,128.42118205342916,43.45112196480086,43.45112196480086,0.0,0.0,38.948684188300895,24.041630560342615
2827,180,RM,35.0,3675,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,No Feature,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,No Feature,No Feature,No Feature,0,140000.0,4,3,3,4,3,4,6,1,4,0,3,8,0,3,3,0,1072,60.6217782649107,32.7414110874898,32.7414110874898,0.0,9.055385138137417,23.388031127053,22.9128784747792
145,20,RL,0.0,12160,Pave,No Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,No Feature,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,No Feature,MnPrv,No Feature,0,142000.0,3,3,3,3,3,1,3,1,2,0,3,8,0,3,3,3,1188,110.27239001672177,34.46737587922817,34.46737587922817,0.0,13.416407864998739,34.46737587922817,23.043437243605826
1942,20,RL,0.0,15783,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,No Feature,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,No Feature,MnPrv,Shed,400,112500.0,4,3,3,3,3,1,3,1,3,0,3,8,0,3,3,3,924,125.63041033125698,30.397368307141328,30.397368307141328,0.0,0.0,30.397368307141328,20.493901531919196
1956,60,RL,70.0,11606,Pave,No Feature,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,No Feature,No Feature,No Feature,0,135000.0,3,3,3,4,3,3,3,1,3,0,2,8,3,3,3,0,2080,107.73114684249862,45.60701700396552,32.2490309931942,32.2490309931942,13.856406460551018,32.2490309931942,22.44994432064365
